timestamp,dev_dn,active_power_kw,day_cap_kwh,temperature_c,efficiency_pct,mppt_power_kw
2026-01-01T09:30:00Z,NE=146049818,0.093,0.06,11.6,94.33,0.096
2026-01-01T09:30:00Z,NE=193143992,0.213,0.16,12.2,95.76,0.215
2026-01-01T09:35:00Z,NE=146048777,0.11,0.06,11.7,95.27,0.116
2026-01-01T09:35:00Z,NE=146049818,0.094,0.06,11.6,94.32,0.099
2026-01-01T09:35:00Z,NE=193143992,0.317,0.18,12.4,96.45,0.324
2026-01-01T09:40:00Z,NE=146048777,0.073,0.07,11.9,94.14,0.085
2026-01-01T09:40:00Z,NE=146049818,0.081,0.07,11.8,93.68,0.096
2026-01-01T09:40:00Z,NE=193143992,0.216,0.21,12.4,95.78,0.223
2026-01-01T09:45:00Z,NE=146048777,0.077,0.08,11.9,94.07,0.082
2026-01-01T09:45:00Z,NE=146049818,0.078,0.08,12,93.05,0.082
2026-01-01T09:45:00Z,NE=193143992,0.192,0.23,12.6,95.41,0.202
2026-01-01T09:50:00Z,NE=146048777,0.046,0.08,12.1,92.65,0.051
2026-01-01T09:50:00Z,NE=146049818,0.053,0.09,12,91.54,0.062
2026-01-01T09:50:00Z,NE=193143992,0.148,0.24,12.8,94.38,0.15
2026-01-01T09:55:00Z,NE=146048777,0.06,0.09,12.1,93.21,0.058
2026-01-01T09:55:00Z,NE=146049818,0.056,0.09,12,91.45,0.056
2026-01-01T09:55:00Z,NE=193143992,0.159,0.25,12.8,94.48,0.168
2026-01-01T10:00:00Z,NE=146048777,0.07,0.09,12.3,93.67,0.075
2026-01-01T10:00:00Z,NE=146049818,0.071,0.1,12,92.96,0.076
2026-01-01T10:00:00Z,NE=193143992,0.189,0.26,12.8,95.01,0.191
2026-01-01T10:05:00Z,NE=146048777,0.095,0.1,12.3,94.74,0.095
2026-01-01T10:05:00Z,NE=146049818,0.078,0.1,12.2,93.78,0.076
2026-01-01T10:05:00Z,NE=193143992,0.213,0.28,13,95.4,0.218
2026-01-01T10:10:00Z,NE=146048777,0.146,0.11,12.3,95.92,0.145
2026-01-01T10:10:00Z,NE=146049818,0.127,0.11,12.2,95.29,0.132
2026-01-01T10:10:00Z,NE=193143992,0.304,0.31,13,96.45,0.315
2026-01-01T10:15:00Z,NE=146048777,0.146,0.11,12.3,95.93,0.152
2026-01-01T10:15:00Z,NE=146049818,0.129,0.13,12.2,95.3,0.142
2026-01-01T10:15:00Z,NE=193143992,0.362,0.34,13.2,96.58,0.375
2026-01-01T10:20:00Z,NE=146048777,0.111,0.12,12.5,95.24,0.123
2026-01-01T10:20:00Z,NE=146049818,0.105,0.14,12.4,94.37,0.108
2026-01-01T10:20:00Z,NE=193143992,0.291,0.37,13.2,96.12,0.294
2026-01-01T10:25:00Z,NE=146048777,0.102,0.13,12.5,94.79,0.113
2026-01-01T10:25:00Z,NE=146049818,0.113,0.14,12.4,94.79,0.118
2026-01-01T10:25:00Z,NE=193143992,0.316,0.4,13.4,96.43,0.319
2026-01-01T10:30:00Z,NE=146048777,0.121,0.14,12.5,95.3,0.123
2026-01-01T10:30:00Z,NE=146049818,0.104,0.15,12.6,94.3,0.112
2026-01-01T10:30:00Z,NE=193143992,0.321,0.4,13.5,96.5,0.332
2026-01-01T10:35:00Z,NE=146048777,0.11,0.15,12.7,95.32,0.108
2026-01-01T10:35:00Z,NE=146049818,0.102,0.15,12.6,94.31,0.108
2026-01-01T10:35:00Z,NE=193143992,0.294,0.43,13.4,96.12,0.306
2026-01-01T10:40:00Z,NE=146048777,0.114,0.16,12.7,95.22,0.117
2026-01-01T10:40:00Z,NE=146049818,0.125,0.17,12.6,95.26,0.132
2026-01-01T10:40:00Z,NE=193143992,0.322,0.46,13.6,96.45,0.342
2026-01-01T10:45:00Z,NE=146048777,0.192,0.18,12.9,96.53,0.192
2026-01-01T10:45:00Z,NE=146049818,0.153,0.18,12.6,95.66,0.161
2026-01-01T10:45:00Z,NE=193143992,0.508,0.5,13.8,97.14,0.521
2026-01-01T10:50:00Z,NE=146048777,0.127,0.19,12.9,95.48,0.127
2026-01-01T10:50:00Z,NE=146049818,0.153,0.19,12.8,96.01,0.167
2026-01-01T10:50:00Z,NE=193143992,0.344,0.54,13.8,96.64,0.356
2026-01-01T10:55:00Z,NE=146048777,0.141,0.2,12.9,96,0.142
2026-01-01T10:55:00Z,NE=146049818,0.121,0.2,12.8,94.81,0.125
2026-01-01T10:55:00Z,NE=193143992,0.395,0.57,14,96.85,0.414
2026-01-01T11:00:00Z,NE=146048777,0.188,0.22,13.1,96.58,0.192
