datetime,measured_mw,monitoredcapacity_mw,loadfactor
2025-10-07T20:15:00Z,0,444.557,0
2025-10-07T20:30:00Z,0,444.557,0
2025-10-07T20:45:00Z,0,444.557,0
2025-10-07T21:00:00Z,0,444.557,0
2025-10-07T21:15:00Z,0,444.557,0
2025-10-07T21:30:00Z,0,444.557,0
2025-10-07T21:45:00Z,0,444.557,0
2025-10-07T22:00:00Z,0,444.557,0
2025-10-07T22:15:00Z,0,444.557,0
2025-10-07T22:30:00Z,0,444.557,0
2025-10-07T22:45:00Z,0,444.557,0
2025-10-07T23:00:00Z,0,444.557,0
2025-10-07T23:15:00Z,0,444.557,0
2025-10-07T23:30:00Z,0,444.557,0
2025-10-07T23:45:00Z,0,444.557,0
2025-10-08T00:00:00Z,0,444.557,0
2025-10-08T00:15:00Z,0,444.557,0
2025-10-08T00:30:00Z,0,444.557,0
2025-10-08T00:45:00Z,0,444.557,0
2025-10-08T01:00:00Z,0,444.557,0
