timestamp,pv_kwh,gshp_kwh,ashp_kwh,offtake_kwh,feedin_kwh,t_ballon,t_sol,t_ext,cop_gshp,cop_ashp,prix_eur_kwh
2026-05-15 08:00:00,5.319922417147858,0.012838834549766033,0.23336761025339364,0,0,34.79999923706055,17.299999237060547,11.699999809265137,5.856767968475342,4.57344000831604,0.0861
2026-05-15 08:15:00,5.168994077249937,0.012834480010918924,0.23465733608603478,0,3.3809999999994034,34.766666412353516,17.299999237060547,11.866666793823242,5.8584626092631025,4.5939689136801825,0.06445999999999999
2026-05-15 08:30:00,5.326611660596954,0.012873488275319688,0.2340375738888979,0,2.3060000000004948,34.666666666666664,17.299999237060547,12.200000127156576,5.863546596272787,4.636400014665392,0.06178
2026-05-15 08:45:00,5.435686537384408,0.013257190424017608,0.23466167341917754,0,3.850000000000364,34.333333333333336,17.399999618530273,12.300000190734863,5.889746631368002,4.661366688728332,0.05007
2026-05-15 09:00:00,5.487957674718878,0.012756090044975282,0.31681820838153363,0,4.9539999999997235,32.43333307902018,17.399999618530273,12.46666653951009,5.986494643737792,4.757531106452942,0.06396
2026-05-15 09:15:00,5.685491399303127,0.012901456701103597,1.0437940215468406,0,1.2810000000008586,30.899999618530273,17.399999618530273,12.46666653951009,6,4.81958000029246,0.05719
2026-05-15 09:30:00,5.923087478096172,0.012798263435717673,1.3137396443486213,0,4.06499999999869,31.633333206176758,17.399999618530273,13.199999809265137,6,4.876706649328867,0.046340000000000006
2026-05-15 09:45:00,5.743720715228869,0.012868077736828127,1.346343232154846,0,2.506999999999607,32.63333257039388,17.399999618530273,13.433333396911621,5.976310669698079,4.862892261295318,0.03671
2026-05-15 10:00:00,5.2599019923204455,0.013454433042075834,1.2063703411221505,0,5.356999999999971,33.56666564941406,17.399999618530273,13.96666653951009,5.9287853495992024,4.886318916774326,0.057159999999999996
2026-05-15 10:15:00,4.9296434427981115,0.013327231056056916,0.9907498750686645,0,1.8690000000005966,34.333333333333336,17.46666653951009,14.666666666666666,5.895915543789334,4.9351111111111114,0.04747
