datetime,measured_mw,monitoredcapacity_mw,loadfactor
2026-01-01T00:00:00Z,0,449.188,0
2026-01-01T00:15:00Z,0,449.188,0
2026-01-01T00:30:00Z,0,449.188,0
2026-01-01T00:45:00Z,0,449.188,0
2026-01-01T01:00:00Z,0,449.188,0
2026-01-01T01:15:00Z,0,449.188,0
2026-01-01T01:30:00Z,0,449.188,0
2026-01-01T01:45:00Z,0,449.188,0
2026-01-01T02:00:00Z,0,449.188,0
2026-01-01T02:15:00Z,0,449.188,0
2026-01-01T02:30:00Z,0,449.188,0
2026-01-01T02:45:00Z,0,449.188,0
2026-01-01T03:00:00Z,0,449.188,0
2026-01-01T03:15:00Z,0,449.188,0
2026-01-01T03:30:00Z,0,449.188,0
2026-01-01T03:45:00Z,0,449.188,0
2026-01-01T04:00:00Z,0,449.188,0
2026-01-01T04:15:00Z,0,449.188,0
2026-01-01T04:30:00Z,0,449.188,0
2026-01-01T04:45:00Z,0,449.188,0
2026-01-01T05:00:00Z,0,449.188,0
2026-01-01T05:15:00Z,0,449.188,0
2026-01-01T05:30:00Z,0,449.188,0
2026-01-01T05:45:00Z,0,449.188,0
2026-01-01T06:00:00Z,0,449.188,0
2026-01-01T06:15:00Z,0,449.188,0
2026-01-01T06:30:00Z,0,449.188,0
2026-01-01T06:45:00Z,0,449.188,0
2026-01-01T07:00:00Z,0,449.188,0
2026-01-01T07:15:00Z,0,449.188,0
2026-01-01T07:30:00Z,0,449.188,0
2026-01-01T07:45:00Z,0,449.188,0
2026-01-01T08:00:00Z,0.028,449.188,0.006
2026-01-01T08:15:00Z,0.216,449.188,0.048
2026-01-01T08:30:00Z,0.751,449.188,0.167
2026-01-01T08:45:00Z,2.643,449.188,0.588
2026-01-01T09:00:00Z,5.501,449.188,1.225
2026-01-01T09:15:00Z,8.142,449.188,1.813
2026-01-01T09:30:00Z,11.165,449.188,2.486
2026-01-01T09:45:00Z,14.785,449.188,3.291
2026-01-01T10:00:00Z,17.82,449.188,3.967
2026-01-01T10:15:00Z,19.579,449.188,4.359
2026-01-01T10:30:00Z,21.812,449.188,4.856
2026-01-01T10:45:00Z,24.194,449.188,5.386
2026-01-01T11:00:00Z,27.183,449.188,6.052
2026-01-01T11:15:00Z,31.284,449.188,6.965
2026-01-01T11:30:00Z,32.578,449.188,7.253
2026-01-01T11:45:00Z,32.038,449.188,7.132
2026-01-01T12:00:00Z,31.137,449.188,6.932
2026-01-01T12:15:00Z,29.005,449.188,6.457
2026-01-01T12:30:00Z,23.807,449.188,5.3
2026-01-01T12:45:00Z,21.678,449.188,4.826
2026-01-01T13:00:00Z,18.954,449.188,4.22
2026-01-01T13:15:00Z,15.857,449.188,3.53
2026-01-01T13:30:00Z,12.824,449.188,2.855
2026-01-01T13:45:00Z,8.768,449.188,1.952
2026-01-01T14:00:00Z,5.263,449.188,1.172
2026-01-01T14:15:00Z,3.124,449.188,0.695
2026-01-01T14:30:00Z,1.558,449.188,0.347
2026-01-01T14:45:00Z,0.637,449.188,0.142
2026-01-01T15:00:00Z,0.147,449.188,0.033
2026-01-01T15:15:00Z,0.021,449.188,0.005
2026-01-01T15:30:00Z,0.001,449.188,0
2026-01-01T15:45:00Z,0,449.188,0
2026-01-01T16:00:00Z,0,449.188,0
