datetime,measured_mw,monitoredcapacity_mw,loadfactor
2024-01-01T00:00:00Z,0,238.283,0
2024-01-01T00:15:00Z,0,238.283,0
2024-01-01T00:30:00Z,0,238.283,0
2024-01-01T00:45:00Z,0,238.283,0
2024-01-01T01:00:00Z,0,238.283,0
2024-01-01T01:15:00Z,0,238.283,0
2024-01-01T01:30:00Z,0,238.283,0
2024-01-01T01:45:00Z,0,238.283,0
2024-01-01T02:00:00Z,0,238.283,0
2024-01-01T02:15:00Z,0,238.283,0
2024-01-01T02:30:00Z,0,238.283,0
2024-01-01T02:45:00Z,0,238.283,0
2024-01-01T03:00:00Z,0,238.283,0
2024-01-01T03:15:00Z,0,238.283,0
2024-01-01T03:30:00Z,0,238.283,0
2024-01-01T03:45:00Z,0,238.283,0
2024-01-01T04:00:00Z,0,238.283,0
2024-01-01T04:15:00Z,0,238.283,0
2024-01-01T04:30:00Z,0,238.283,0
2024-01-01T04:45:00Z,0,238.283,0
2024-01-01T05:00:00Z,0,238.283,0
2024-01-01T05:15:00Z,0,238.283,0
2024-01-01T05:30:00Z,0,238.283,0
2024-01-01T05:45:00Z,0,238.283,0
2024-01-01T06:00:00Z,0,238.283,0
2024-01-01T06:15:00Z,0,238.283,0
2024-01-01T06:30:00Z,0,238.283,0
2024-01-01T06:45:00Z,0,238.283,0
2024-01-01T07:00:00Z,0,238.283,0
2024-01-01T07:15:00Z,0,238.283,0
2024-01-01T07:30:00Z,0,238.283,0
2024-01-01T07:45:00Z,0,238.283,0
2024-01-01T08:00:00Z,0.189,238.283,0.079
2024-01-01T08:15:00Z,0.902,238.283,0.379
2024-01-01T08:30:00Z,2.109,238.283,0.885
2024-01-01T08:45:00Z,3.784,238.283,1.588
2024-01-01T09:00:00Z,6.524,238.283,2.738
2024-01-01T09:15:00Z,11.026,238.283,4.627
2024-01-01T09:30:00Z,15.663,238.283,6.573
2024-01-01T09:45:00Z,18.992,238.283,7.97
2024-01-01T10:00:00Z,21.646,238.283,9.084
2024-01-01T10:15:00Z,23.321,238.283,9.787
2024-01-01T10:30:00Z,25.703,238.283,10.787
2024-01-01T10:45:00Z,29.745,238.283,12.483
2024-01-01T11:00:00Z,29.835,238.283,12.521
2024-01-01T11:15:00Z,27.891,238.283,11.705
2024-01-01T11:30:00Z,25.853,238.283,10.85
2024-01-01T11:45:00Z,22.532,238.283,9.456
2024-01-01T12:00:00Z,21.061,238.283,8.839
2024-01-01T12:15:00Z,20.488,238.283,8.598
2024-01-01T12:30:00Z,19.489,238.283,8.179
2024-01-01T12:45:00Z,18.738,238.283,7.864
2024-01-01T13:00:00Z,18.087,238.283,7.591
2024-01-01T13:15:00Z,16.312,238.283,6.846
2024-01-01T13:30:00Z,13.648,238.283,5.728
