timestamp,pv_kwh,gshp_kwh,ashp_kwh,pac_kwh,offtake_kwh,feedin_kwh,t_ballon,t_ballon_bas,t_sol,t_sol_return,t_ext,t_ext_site,t_ext_openmeteo,gshp_kw_mean,ashp_kw_mean,gshp_cop_max,ashp_cop_max,gshp_puissance_th,ashp_puissance_th,gshp_t_condenseur,ashp_t_condenseur,gshp_t_evaporateur,cop_gshp,cop_ashp,cop,prix_eur_kwh
2026-05-15 08:00:00,5.319922417147858,0.012838834549766033,0.23336761025339364,0.24620644480315967,0,0,34.79999923706055,26.633333206176758,17.299999237060547,17.399999618530273,11.699999809265137,11.699999809265137,7.8,0.004053321361541748,0.002569516897201538,NA,75,0,0,16.571372985839844,0,16.635185877482098,5.856767968475342,4.57344000831604,4.640361227079207,0.0861
2026-05-15 08:15:00,5.168994077249937,0.012834480010918924,0.23465733608603478,0.2474918160969537,0,3.3809999999994034,34.766666412353516,26.366666158040363,17.299999237060547,17.399999618530273,11.866666793823242,11.866666793823242,8.1,0.004008411884307861,0.002543542146682739,NA,75,0,0,16.583332061767578,0,16.647531509399414,5.8584626092631025,4.5939689136801825,4.6595432802020005,0.06445999999999999
2026-05-15 08:30:00,5.326611660596954,0.012873488275319688,0.2340375738888979,0.2469110621642176,0,2.3060000000004948,34.666666666666664,26.133333841959637,17.299999237060547,17.399999618530273,12.200000127156576,12.200000127156576,8.3,0.004026436805725097,0.0025593366622924806,NA,75,0,0,16.598148345947266,0,16.64259401957194,5.863546596272787,4.636400014665392,4.700381178538537,0.06178
2026-05-15 08:45:00,5.435686537384408,0.013257190424017608,0.23466167341917754,0.24791886384319514,0,3.850000000000364,34.333333333333336,25.933333079020183,17.399999618530273,17.399999618530273,12.300000190734863,12.300000190734863,8.6,0.0040197596549987795,0.0026120736598968506,NA,75,0,0,16.610493977864582,0,16.657408396402996,5.889746631368002,4.661366688728332,4.727052964311291,0.05007
2026-05-15 09:00:00,5.487957674718878,0.012756090044975282,0.31681820838153363,0.3295742984265089,0,4.9539999999997235,32.43333307902018,25.766666412353516,17.399999618530273,17.399999618530273,12.46666653951009,12.46666653951009,8.9,0.004040894985198974,0.0025615534782409666,NA,75,0,0,16.627779006958008,0,16.6672846476237,5.986494643737792,4.757531106452942,4.805097830006455,0.06396
2026-05-15 09:15:00,5.685491399303127,0.012901456701103597,1.0437940215468406,1.0566954782479443,0,1.2810000000008586,30.899999618530273,26.833332697550457,17.399999618530273,17.399999618530273,12.46666653951009,12.46666653951009,9.2,0.004005556106567383,0.2923252868652344,NA,75,0,0,16.63024838765462,0,16.674691518147785,6,4.81958000029246,4.8339920403066685,0.05719
2026-05-15 09:30:00,5.923087478096172,0.012798263435717673,1.3137396443486213,1.326537907784339,0,4.06499999999869,31.633333206176758,27.933333079020183,17.399999618530273,17.399999618530273,13.199999809265137,13.199999809265137,9.4,0.003996883153915406,0.9000970458984375,NA,75,0,0,16.65493901570638,0,16.714197794596355,6,4.876706649328867,4.887544035982589,0.046340000000000006
2026-05-15 09:45:00,5.743720715228869,0.012868077736828127,1.346343232154846,1.3592113098916743,0,2.506999999999607,32.63333257039388,28.8000005086263,17.399999618530273,17.5,13.433333396911621,13.433333396911621,9.7,0.004003434658050537,1.0468902587890625,NA,75,0,0,16.682099024454754,0,16.724074681599934,5.976310669698079,4.862892261295318,4.873433340911617,0.03671
2026-05-15 10:00:00,5.2599019923204455,0.013454433042075834,1.2063703411221505,1.2198247741642263,0,5.356999999999971,33.56666564941406,29,17.399999618530273,17.5,13.96666653951009,13.96666653951009,9.9,0.00408193302154541,1.0187238159179688,NA,75,0,0,16.714197794596355,0,16.761110305786133,5.9287853495992024,4.886318916774326,4.8978171213657715,0.057159999999999996
2026-05-15 10:15:00,4.9296434427981115,0.013327231056056916,0.9907498750686645,1.0040771061247213,0,1.8690000000005966,34.333333333333336,30.833333333333332,17.46666653951009,17.5,14.666666666666666,14.666666666666666,9.8,0.004084846496582031,0.881203857421875,NA,75,0,0,16.753703435262043,0,16.78264045715332,5.895915543789334,4.9351111111111114,4.947863978989364,0.04747
